Iter 	incumb_est 	candid_est 	error
1 	-37.361159 	-56.692174 	-0.517409
2 	-37.231304 	-43.588758 	-0.170756
3 	-39.477439 	-39.892239 	-0.010507
4 	-40.537733 	-41.278558 	-0.018275
5 	-39.673693 	-39.952522 	-0.007028
6 	-40.913357 	-41.117500 	-0.004990
7 	-42.020382 	-43.138137 	-0.026600
8 	-42.282289 	-42.607411 	-0.007689
9 	-41.744682 	-42.164522 	-0.010057
10 	-42.010708 	-42.238154 	-0.005414
11 	-41.339085 	-41.589653 	-0.006061
12 	-41.438714 	-41.767197 	-0.007927
13 	-41.012957 	-41.149470 	-0.003329
14 	-40.911145 	-41.327383 	-0.010174
15 	-40.492024 	-40.577096 	-0.002101
16 	-40.474195 	-40.803869 	-0.008145
17 	-40.379890 	-40.444008 	-0.001588
18 	-40.403776 	-40.541298 	-0.003404
19 	-40.072428 	-40.170198 	-0.002440
20 	-40.221808 	-40.491660 	-0.006709
21 	-40.022126 	-40.136350 	-0.002854
22 	-40.304343 	-40.387450 	-0.002062
23 	-40.399666 	-40.529666 	-0.003218
24 	-40.678766 	-40.739478 	-0.001492
25 	-40.476654 	-40.582702 	-0.002620
26 	-40.560115 	-40.779679 	-0.005413
27 	-40.548308 	-40.667357 	-0.002936
28 	-40.424872 	-40.659602 	-0.005807
29 	-40.371879 	-40.543973 	-0.004263
30 	-40.590669 	-40.674924 	-0.002076
31 	-40.643857 	-40.702911 	-0.001453
32 	-40.585493 	-40.644332 	-0.001450
33 	-40.661305 	-40.720609 	-0.001458
34 	-40.607685 	-40.652594 	-0.001106
35 	-40.767786 	-40.800116 	-0.000793
36 	-40.833094 	-40.837144 	-0.000099
37 	-40.810825 	-40.814335 	-0.000086
38 	-40.924979 	-40.928013 	-0.000074
39 	-40.844812 	-40.847427 	-0.000064
40 	-41.019969 	-41.022213 	-0.000055
41 	-41.191337 	-41.204610 	-0.000322
42 	-41.239156 	-41.251279 	-0.000294
43 	-41.190987 	-41.192368 	-0.000034
44 	-41.160592 	-41.163578 	-0.000073
45 	-41.139957 	-41.140925 	-0.000024
46 	-41.129677 	-41.132877 	-0.000078
47 	-41.123069 	-41.123723 	-0.000016
48 	-41.217007 	-41.220411 	-0.000083
49 	-41.088283 	-41.088403 	-0.000003
50 	-41.019436 	-41.019874 	-0.000011
51 	-41.110503 	-41.111723 	-0.000030
52 	-41.095747 	-41.096320 	-0.000014
53 	-41.118955 	-41.119848 	-0.000022
54 	-41.135444 	-41.136158 	-0.000017
55 	-41.127181 	-41.127816 	-0.000015
56 	-41.162346 	-41.163204 	-0.000021
57 	-41.109215 	-41.109649 	-0.000011
58 	-41.074781 	-41.075786 	-0.000024
59 	-41.075832 	-41.076113 	-0.000007
60 	-41.054910 	-41.056062 	-0.000028
61 	-40.985719 	-40.985888 	-0.000004
62 	-41.108240 	-41.108270 	-0.000001
63 	-41.091370 	-41.091459 	-0.000002
64 	-41.133493 	-41.134011 	-0.000013
65 	-40.983821 	-40.984266 	-0.000011
66 	-40.965556 	-40.968541 	-0.000073
67 	-40.961900 	-40.962207 	-0.000007
68 	-40.926680 	-40.929810 	-0.000076
69 	-40.939174 	-40.939374 	-0.000005
70 	-41.013485 	-41.016754 	-0.000080
71 	-41.000098 	-41.000218 	-0.000003
72 	-41.105259 	-41.105572 	-0.000008
73 	-41.058001 	-41.060309 	-0.000056
74 	-41.066770 	-41.067165 	-0.000010
75 	-41.059206 	-41.061153 	-0.000047
76 	-41.139863 	-41.140345 	-0.000012
77 	-41.219488 	-41.221121 	-0.000040
78 	-41.191928 	-41.192501 	-0.000014
79 	-41.207940 	-41.209300 	-0.000033
80 	-41.244695 	-41.245361 	-0.000016
81 	-41.253842 	-41.254966 	-0.000027
82 	-41.311033 	-41.311795 	-0.000018
83 	-41.213849 	-41.213896 	-0.000001
84 	-41.170512 	-41.173271 	-0.000067
