Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000963	 0.000588	 0.000256	 0.000000	 0.000088	0.000963	 0.000588	 0.000256	 0.000000	 0.000088
2	 0.004833	 0.004497	 0.000235	 0.000000	 0.000055	0.005796	 0.005085	 0.000491	 0.000000	 0.000143
3	 0.004119	 0.003969	 0.000049	 0.000000	 0.000066	0.009915	 0.009054	 0.000540	 0.000000	 0.000209
4	 0.004139	 0.004052	 0.000040	 0.000000	 0.000021	0.014054	 0.013106	 0.000580	 0.000000	 0.000230
5	 0.005110	 0.004652	 0.000262	 0.000000	 0.000152	0.019164	 0.017758	 0.000842	 0.000000	 0.000382
6	 0.005060	 0.004874	 0.000090	 0.000000	 0.000049	0.024224	 0.022632	 0.000932	 0.000000	 0.000431
7	 0.006256	 0.006158	 0.000038	 0.000000	 0.000026	0.030480	 0.028790	 0.000970	 0.000000	 0.000457
8	 0.005925	 0.005780	 0.000079	 0.000000	 0.000029	0.036405	 0.034570	 0.001049	 0.000000	 0.000486
9	 0.005876	 0.005685	 0.000113	 0.000000	 0.000041	0.042281	 0.040255	 0.001162	 0.000000	 0.000527
10	 0.005980	 0.005803	 0.000099	 0.000000	 0.000040	0.048261	 0.046058	 0.001261	 0.000000	 0.000567
11	 0.005099	 0.004923	 0.000090	 0.000000	 0.000043	0.053360	 0.050981	 0.001351	 0.000000	 0.000610
12	 0.004263	 0.004185	 0.000030	 0.000000	 0.000026	0.057623	 0.055166	 0.001381	 0.000000	 0.000636
13	 0.004387	 0.004248	 0.000070	 0.000000	 0.000039	0.062010	 0.059414	 0.001451	 0.000000	 0.000675
14	 0.004753	 0.004669	 0.000031	 0.000000	 0.000026	0.066763	 0.064083	 0.001482	 0.000000	 0.000701
15	 0.004127	 0.003994	 0.000052	 0.000000	 0.000040	0.070890	 0.068077	 0.001534	 0.000000	 0.000741
16	 0.004808	 0.004687	 0.000047	 0.000000	 0.000034	0.075698	 0.072764	 0.001581	 0.000000	 0.000775
17	 0.005213	 0.005065	 0.000071	 0.000000	 0.000041	0.080911	 0.077829	 0.001652	 0.000000	 0.000816
18	 0.005244	 0.005142	 0.000035	 0.000000	 0.000029	0.086155	 0.082971	 0.001687	 0.000000	 0.000845
19	 0.004980	 0.004853	 0.000058	 0.000000	 0.000020	0.091135	 0.087824	 0.001745	 0.000000	 0.000865
20	 0.005688	 0.005577	 0.000053	 0.000000	 0.000021	0.096823	 0.093401	 0.001798	 0.000000	 0.000886
21	 0.005336	 0.005141	 0.000094	 0.000000	 0.000051	0.102159	 0.098542	 0.001892	 0.000000	 0.000937
22	 0.005800	 0.005682	 0.000051	 0.000000	 0.000028	0.107959	 0.104224	 0.001943	 0.000000	 0.000965
23	 0.005406	 0.005256	 0.000069	 0.000000	 0.000033	0.113365	 0.109480	 0.002012	 0.000000	 0.000998
24	 0.005336	 0.005213	 0.000064	 0.000000	 0.000030	0.118701	 0.114693	 0.002076	 0.000000	 0.001028
25	 0.005433	 0.005253	 0.000085	 0.000000	 0.000044	0.124134	 0.119946	 0.002161	 0.000000	 0.001072
26	 0.005231	 0.005092	 0.000063	 0.000000	 0.000035	0.129365	 0.125038	 0.002224	 0.000000	 0.001107
27	 0.005551	 0.005315	 0.000128	 0.000000	 0.000060	0.134916	 0.130353	 0.002352	 0.000000	 0.001167
28	 0.005659	 0.005571	 0.000036	 0.000000	 0.000018	0.140575	 0.135924	 0.002388	 0.000000	 0.001185
29	 0.005143	 0.004952	 0.000093	 0.000000	 0.000048	0.145718	 0.140876	 0.002481	 0.000000	 0.001233
30	 0.005765	 0.005651	 0.000059	 0.000000	 0.000019	0.151483	 0.146527	 0.002540	 0.000000	 0.001252
31	 0.006685	 0.006440	 0.000122	 0.000000	 0.000053	0.158168	 0.152967	 0.002662	 0.000000	 0.001305
32	 0.006441	 0.006249	 0.000096	 0.000000	 0.000033	0.164609	 0.159216	 0.002758	 0.000000	 0.001338
33	 0.006238	 0.006093	 0.000055	 0.000000	 0.000029	0.170847	 0.165309	 0.002813	 0.000000	 0.001367
34	 0.006236	 0.006081	 0.000067	 0.000000	 0.000031	0.177083	 0.171390	 0.002880	 0.000000	 0.001398
35	 0.005906	 0.005767	 0.000054	 0.000000	 0.000031	0.182989	 0.177157	 0.002934	 0.000000	 0.001429
36	 0.006011	 0.005847	 0.000059	 0.000000	 0.000032	0.189000	 0.183004	 0.002993	 0.000000	 0.001461
37	 0.006870	 0.006713	 0.000074	 0.000000	 0.000029	0.195870	 0.189717	 0.003067	 0.000000	 0.001490
38	 0.006008	 0.005897	 0.000043	 0.000000	 0.000025	0.201878	 0.195614	 0.003110	 0.000000	 0.001515
39	 0.006088	 0.005967	 0.000050	 0.000000	 0.000023	0.207966	 0.201581	 0.003160	 0.000000	 0.001538
40	 0.005869	 0.005722	 0.000072	 0.000000	 0.000025	0.213835	 0.207303	 0.003232	 0.000000	 0.001563
41	 0.005629	 0.005456	 0.000080	 0.000000	 0.000031	0.219464	 0.212759	 0.003312	 0.000000	 0.001594
42	 0.005427	 0.005255	 0.000073	 0.000000	 0.000042	0.224891	 0.218014	 0.003385	 0.000000	 0.001636
43	 0.004579	 0.004451	 0.000048	 0.000000	 0.000036	0.229470	 0.222465	 0.003433	 0.000000	 0.001672
44	 0.004680	 0.004573	 0.000040	 0.000000	 0.000031	0.234150	 0.227038	 0.003473	 0.000000	 0.001703
45	 0.005920	 0.005630	 0.000166	 0.000000	 0.000068	0.240070	 0.232668	 0.003639	 0.000000	 0.001771
46	 0.005764	 0.005623	 0.000067	 0.000000	 0.000033	0.245834	 0.238291	 0.003706	 0.000000	 0.001804
47	 0.005698	 0.005547	 0.000069	 0.000000	 0.000040	0.251532	 0.243838	 0.003775	 0.000000	 0.001844
48	 0.004748	 0.004648	 0.000038	 0.000000	 0.000025	0.256280	 0.248486	 0.003813	 0.000000	 0.001869
49	 0.006145	 0.005951	 0.000110	 0.000000	 0.000040	0.262425	 0.254437	 0.003923	 0.000000	 0.001909
50	 0.005930	 0.005703	 0.000124	 0.000000	 0.000035	0.268355	 0.260140	 0.004047	 0.000000	 0.001944
