Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.001054	 0.000722	 0.000199	 0.000000	 0.000097	0.001054	 0.000722	 0.000199	 0.000000	 0.000097
2	 0.006465	 0.006205	 0.000145	 0.000000	 0.000080	0.007519	 0.006927	 0.000344	 0.000000	 0.000177
3	 0.005984	 0.005796	 0.000062	 0.000000	 0.000072	0.013503	 0.012723	 0.000406	 0.000000	 0.000249
4	 0.006556	 0.006416	 0.000072	 0.000000	 0.000031	0.020059	 0.019139	 0.000478	 0.000000	 0.000280
5	 0.005255	 0.004968	 0.000182	 0.000000	 0.000066	0.025314	 0.024107	 0.000660	 0.000000	 0.000346
6	 0.005621	 0.005483	 0.000062	 0.000000	 0.000029	0.030935	 0.029590	 0.000722	 0.000000	 0.000375
7	 0.006819	 0.006644	 0.000086	 0.000000	 0.000037	0.037754	 0.036234	 0.000808	 0.000000	 0.000412
8	 0.005164	 0.005030	 0.000075	 0.000000	 0.000029	0.042918	 0.041264	 0.000883	 0.000000	 0.000441
9	 0.005302	 0.005150	 0.000082	 0.000000	 0.000039	0.048220	 0.046414	 0.000965	 0.000000	 0.000480
10	 0.006444	 0.006355	 0.000034	 0.000000	 0.000027	0.054664	 0.052769	 0.000999	 0.000000	 0.000507
11	 0.004757	 0.004554	 0.000119	 0.000000	 0.000043	0.059421	 0.057323	 0.001118	 0.000000	 0.000550
12	 0.004814	 0.004736	 0.000030	 0.000000	 0.000026	0.064235	 0.062059	 0.001148	 0.000000	 0.000576
13	 0.005239	 0.005108	 0.000067	 0.000000	 0.000036	0.069474	 0.067167	 0.001215	 0.000000	 0.000612
14	 0.004598	 0.004521	 0.000028	 0.000000	 0.000025	0.074072	 0.071688	 0.001243	 0.000000	 0.000637
15	 0.004542	 0.004420	 0.000055	 0.000000	 0.000038	0.078614	 0.076108	 0.001298	 0.000000	 0.000675
16	 0.004988	 0.004893	 0.000036	 0.000000	 0.000036	0.083602	 0.081001	 0.001334	 0.000000	 0.000711
17	 0.004341	 0.004199	 0.000082	 0.000000	 0.000037	0.087943	 0.085200	 0.001416	 0.000000	 0.000748
18	 0.004200	 0.004116	 0.000028	 0.000000	 0.000023	0.092143	 0.089316	 0.001444	 0.000000	 0.000771
19	 0.004676	 0.004547	 0.000074	 0.000000	 0.000017	0.096819	 0.093863	 0.001518	 0.000000	 0.000788
20	 0.006408	 0.006329	 0.000036	 0.000000	 0.000015	0.103227	 0.100192	 0.001554	 0.000000	 0.000803
21	 0.005286	 0.005136	 0.000082	 0.000000	 0.000034	0.108513	 0.105328	 0.001636	 0.000000	 0.000837
22	 0.004956	 0.004884	 0.000030	 0.000000	 0.000017	0.113469	 0.110212	 0.001666	 0.000000	 0.000854
23	 0.004849	 0.004727	 0.000052	 0.000000	 0.000030	0.118318	 0.114939	 0.001718	 0.000000	 0.000884
