Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000894	 0.000597	 0.000175	 0.000000	 0.000089	0.000894	 0.000597	 0.000175	 0.000000	 0.000089
2	 0.004583	 0.004295	 0.000166	 0.000000	 0.000081	0.005477	 0.004892	 0.000341	 0.000000	 0.000170
3	 0.004868	 0.004685	 0.000069	 0.000000	 0.000072	0.010345	 0.009577	 0.000410	 0.000000	 0.000242
4	 0.005007	 0.004905	 0.000052	 0.000000	 0.000023	0.015352	 0.014482	 0.000462	 0.000000	 0.000265
5	 0.004782	 0.004566	 0.000133	 0.000000	 0.000053	0.020134	 0.019048	 0.000595	 0.000000	 0.000318
6	 0.004710	 0.004591	 0.000055	 0.000000	 0.000026	0.024844	 0.023639	 0.000650	 0.000000	 0.000344
7	 0.005450	 0.005337	 0.000052	 0.000000	 0.000026	0.030294	 0.028976	 0.000702	 0.000000	 0.000370
8	 0.005234	 0.005099	 0.000075	 0.000000	 0.000028	0.035528	 0.034075	 0.000777	 0.000000	 0.000398
9	 0.005651	 0.005514	 0.000070	 0.000000	 0.000040	0.041179	 0.039589	 0.000847	 0.000000	 0.000438
10	 0.005208	 0.005112	 0.000042	 0.000000	 0.000028	0.046387	 0.044701	 0.000889	 0.000000	 0.000466
11	 0.005104	 0.004960	 0.000069	 0.000000	 0.000043	0.051491	 0.049661	 0.000958	 0.000000	 0.000509
12	 0.005093	 0.005009	 0.000031	 0.000000	 0.000028	0.056584	 0.054670	 0.000989	 0.000000	 0.000537
13	 0.005262	 0.005082	 0.000102	 0.000000	 0.000039	0.061846	 0.059752	 0.001091	 0.000000	 0.000576
14	 0.005488	 0.005403	 0.000030	 0.000000	 0.000026	0.067334	 0.065155	 0.001121	 0.000000	 0.000602
15	 0.005489	 0.005369	 0.000053	 0.000000	 0.000041	0.072823	 0.070524	 0.001174	 0.000000	 0.000643
16	 0.004453	 0.004382	 0.000028	 0.000000	 0.000020	0.077276	 0.074906	 0.001202	 0.000000	 0.000663
17	 0.004832	 0.004707	 0.000062	 0.000000	 0.000035	0.082108	 0.079613	 0.001264	 0.000000	 0.000698
18	 0.004474	 0.004394	 0.000026	 0.000000	 0.000022	0.086582	 0.084007	 0.001290	 0.000000	 0.000720
19	 0.004605	 0.004511	 0.000045	 0.000000	 0.000016	0.091187	 0.088518	 0.001335	 0.000000	 0.000736
20	 0.004262	 0.004188	 0.000039	 0.000000	 0.000015	0.095449	 0.092706	 0.001374	 0.000000	 0.000751
21	 0.004557	 0.004444	 0.000059	 0.000000	 0.000028	0.100006	 0.097150	 0.001433	 0.000000	 0.000779
