Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.001081	 0.000671	 0.000291	 0.000000	 0.000080	0.001081	 0.000671	 0.000291	 0.000000	 0.000080
2	 0.005016	 0.004711	 0.000210	 0.000000	 0.000059	0.006097	 0.005382	 0.000501	 0.000000	 0.000139
3	 0.004758	 0.004566	 0.000066	 0.000000	 0.000081	0.010855	 0.009948	 0.000567	 0.000000	 0.000220
4	 0.004628	 0.004515	 0.000050	 0.000000	 0.000026	0.015483	 0.014463	 0.000617	 0.000000	 0.000246
5	 0.004361	 0.003926	 0.000167	 0.000000	 0.000227	0.019844	 0.018389	 0.000784	 0.000000	 0.000473
6	 0.003964	 0.003836	 0.000067	 0.000000	 0.000023	0.023808	 0.022225	 0.000851	 0.000000	 0.000496
7	 0.005113	 0.005008	 0.000050	 0.000000	 0.000023	0.028921	 0.027233	 0.000901	 0.000000	 0.000519
8	 0.004868	 0.004734	 0.000080	 0.000000	 0.000027	0.033789	 0.031967	 0.000981	 0.000000	 0.000546
9	 0.006038	 0.005839	 0.000114	 0.000000	 0.000047	0.039827	 0.037806	 0.001095	 0.000000	 0.000593
10	 0.005540	 0.005430	 0.000044	 0.000000	 0.000030	0.045367	 0.043236	 0.001139	 0.000000	 0.000623
11	 0.005607	 0.005464	 0.000070	 0.000000	 0.000042	0.050974	 0.048700	 0.001209	 0.000000	 0.000665
12	 0.005124	 0.005040	 0.000033	 0.000000	 0.000026	0.056098	 0.053740	 0.001242	 0.000000	 0.000691
13	 0.005435	 0.005298	 0.000068	 0.000000	 0.000037	0.061533	 0.059038	 0.001310	 0.000000	 0.000728
14	 0.006395	 0.006255	 0.000064	 0.000000	 0.000033	0.067928	 0.065293	 0.001374	 0.000000	 0.000761
15	 0.005556	 0.005406	 0.000065	 0.000000	 0.000047	0.073484	 0.070699	 0.001439	 0.000000	 0.000808
16	 0.005741	 0.005649	 0.000038	 0.000000	 0.000025	0.079225	 0.076348	 0.001477	 0.000000	 0.000833
17	 0.006009	 0.005879	 0.000058	 0.000000	 0.000038	0.085234	 0.082227	 0.001535	 0.000000	 0.000871
18	 0.005959	 0.005772	 0.000054	 0.000000	 0.000039	0.091193	 0.087999	 0.001589	 0.000000	 0.000910
19	 0.006091	 0.005926	 0.000078	 0.000000	 0.000028	0.097284	 0.093925	 0.001667	 0.000000	 0.000938
20	 0.006517	 0.006396	 0.000058	 0.000000	 0.000021	0.103801	 0.100321	 0.001725	 0.000000	 0.000959
21	 0.006206	 0.006079	 0.000061	 0.000000	 0.000033	0.110007	 0.106400	 0.001786	 0.000000	 0.000992
22	 0.005417	 0.005335	 0.000041	 0.000000	 0.000018	0.115424	 0.111735	 0.001827	 0.000000	 0.001010
23	 0.005129	 0.005012	 0.000049	 0.000000	 0.000028	0.120553	 0.116747	 0.001876	 0.000000	 0.001038
24	 0.005467	 0.005360	 0.000053	 0.000000	 0.000026	0.126020	 0.122107	 0.001929	 0.000000	 0.001064
25	 0.005804	 0.005626	 0.000078	 0.000000	 0.000046	0.131824	 0.127733	 0.002007	 0.000000	 0.001110
26	 0.006290	 0.006155	 0.000067	 0.000000	 0.000033	0.138114	 0.133888	 0.002074	 0.000000	 0.001143
27	 0.005862	 0.005725	 0.000062	 0.000000	 0.000044	0.143976	 0.139613	 0.002136	 0.000000	 0.001187
28	 0.005495	 0.005419	 0.000032	 0.000000	 0.000015	0.149471	 0.145032	 0.002168	 0.000000	 0.001202
29	 0.005108	 0.004999	 0.000050	 0.000000	 0.000034	0.154579	 0.150031	 0.002218	 0.000000	 0.001236
30	 0.005912	 0.005822	 0.000047	 0.000000	 0.000016	0.160491	 0.155853	 0.002265	 0.000000	 0.001252
31	 0.006237	 0.005980	 0.000141	 0.000000	 0.000055	0.166728	 0.161833	 0.002406	 0.000000	 0.001307
32	 0.006283	 0.006115	 0.000083	 0.000000	 0.000030	0.173011	 0.167948	 0.002489	 0.000000	 0.001337
33	 0.005621	 0.005528	 0.000035	 0.000000	 0.000022	0.178632	 0.173476	 0.002524	 0.000000	 0.001359
34	 0.005857	 0.005768	 0.000032	 0.000000	 0.000021	0.184489	 0.179244	 0.002556	 0.000000	 0.001380
35	 0.006000	 0.005909	 0.000030	 0.000000	 0.000018	0.190489	 0.185153	 0.002586	 0.000000	 0.001398
36	 0.006539	 0.006369	 0.000078	 0.000000	 0.000033	0.197028	 0.191522	 0.002664	 0.000000	 0.001431
37	 0.006524	 0.006381	 0.000055	 0.000000	 0.000029	0.203552	 0.197903	 0.002719	 0.000000	 0.001460
38	 0.006447	 0.006270	 0.000086	 0.000000	 0.000031	0.209999	 0.204173	 0.002805	 0.000000	 0.001491
39	 0.006601	 0.006494	 0.000037	 0.000000	 0.000026	0.216600	 0.210667	 0.002842	 0.000000	 0.001517
40	 0.006422	 0.006302	 0.000053	 0.000000	 0.000022	0.223022	 0.216969	 0.002895	 0.000000	 0.001539
41	 0.006017	 0.005814	 0.000103	 0.000000	 0.000034	0.229039	 0.222783	 0.002998	 0.000000	 0.001573
42	 0.005650	 0.005481	 0.000068	 0.000000	 0.000044	0.234689	 0.228264	 0.003066	 0.000000	 0.001617
43	 0.006852	 0.006716	 0.000041	 0.000000	 0.000035	0.241541	 0.234980	 0.003107	 0.000000	 0.001652
44	 0.006370	 0.006255	 0.000041	 0.000000	 0.000039	0.247911	 0.241235	 0.003148	 0.000000	 0.001691
45	 0.005886	 0.005724	 0.000072	 0.000000	 0.000049	0.253797	 0.246959	 0.003220	 0.000000	 0.001740
46	 0.006074	 0.005963	 0.000049	 0.000000	 0.000025	0.259871	 0.252922	 0.003269	 0.000000	 0.001765
47	 0.006089	 0.005963	 0.000056	 0.000000	 0.000036	0.265960	 0.258885	 0.003325	 0.000000	 0.001801
48	 0.005921	 0.005822	 0.000037	 0.000000	 0.000024	0.271881	 0.264707	 0.003362	 0.000000	 0.001825
49	 0.005867	 0.005731	 0.000074	 0.000000	 0.000032	0.277748	 0.270438	 0.003436	 0.000000	 0.001857
50	 0.005734	 0.005632	 0.000041	 0.000000	 0.000019	0.283482	 0.276070	 0.003477	 0.000000	 0.001876
51	 0.005900	 0.005774	 0.000049	 0.000000	 0.000030	0.289382	 0.281844	 0.003526	 0.000000	 0.001906
52	 0.006609	 0.006366	 0.000125	 0.000000	 0.000070	0.295991	 0.288210	 0.003651	 0.000000	 0.001976
53	 0.005519	 0.005420	 0.000044	 0.000000	 0.000023	0.301510	 0.293630	 0.003695	 0.000000	 0.001999
54	 0.006194	 0.005969	 0.000108	 0.000000	 0.000070	0.307704	 0.299599	 0.003803	 0.000000	 0.002069
55	 0.005950	 0.005855	 0.000037	 0.000000	 0.000023	0.313654	 0.305454	 0.003840	 0.000000	 0.002092
56	 0.006361	 0.006220	 0.000058	 0.000000	 0.000045	0.320015	 0.311674	 0.003898	 0.000000	 0.002137
57	 0.004974	 0.004899	 0.000028	 0.000000	 0.000020	0.324989	 0.316573	 0.003926	 0.000000	 0.002157
58	 0.005700	 0.005574	 0.000053	 0.000000	 0.000045	0.330689	 0.322147	 0.003979	 0.000000	 0.002202
59	 0.005432	 0.005347	 0.000039	 0.000000	 0.000019	0.336121	 0.327494	 0.004018	 0.000000	 0.002221
60	 0.005418	 0.005279	 0.000057	 0.000000	 0.000046	0.341539	 0.332773	 0.004075	 0.000000	 0.002267
61	 0.005377	 0.005253	 0.000054	 0.000000	 0.000030	0.346916	 0.338026	 0.004129	 0.000000	 0.002297
62	 0.005905	 0.005723	 0.000082	 0.000000	 0.000049	0.352821	 0.343749	 0.004211	 0.000000	 0.002346
63	 0.005408	 0.005289	 0.000059	 0.000000	 0.000026	0.358229	 0.349038	 0.004270	 0.000000	 0.002372
64	 0.005512	 0.005375	 0.000062	 0.000000	 0.000039	0.363741	 0.354413	 0.004332	 0.000000	 0.002411
65	 0.004068	 0.003970	 0.000049	 0.000000	 0.000021	0.367809	 0.358383	 0.004381	 0.000000	 0.002432
66	 0.005003	 0.004851	 0.000080	 0.000000	 0.000045	0.372812	 0.363234	 0.004461	 0.000000	 0.002477
67	 0.004385	 0.004312	 0.000029	 0.000000	 0.000018	0.377197	 0.367546	 0.004490	 0.000000	 0.002495
68	 0.005095	 0.004982	 0.000048	 0.000000	 0.000036	0.382292	 0.372528	 0.004538	 0.000000	 0.002531
69	 0.005644	 0.005567	 0.000031	 0.000000	 0.000020	0.387936	 0.378095	 0.004569	 0.000000	 0.002551
70	 0.004866	 0.004742	 0.000056	 0.000000	 0.000035	0.392802	 0.382837	 0.004625	 0.000000	 0.002586
71	 0.004207	 0.004130	 0.000031	 0.000000	 0.000022	0.397009	 0.386967	 0.004656	 0.000000	 0.002608
72	 0.004490	 0.004353	 0.000071	 0.000000	 0.000037	0.401499	 0.391320	 0.004727	 0.000000	 0.002645
73	 0.004387	 0.004314	 0.000036	 0.000000	 0.000017	0.405886	 0.395634	 0.004763	 0.000000	 0.002662
74	 0.004638	 0.004520	 0.000051	 0.000000	 0.000037	0.410524	 0.400154	 0.004814	 0.000000	 0.002699
75	 0.004290	 0.004224	 0.000027	 0.000000	 0.000018	0.414814	 0.404378	 0.004841	 0.000000	 0.002717
76	 0.004269	 0.004159	 0.000047	 0.000000	 0.000036	0.419083	 0.408537	 0.004888	 0.000000	 0.002753
77	 0.005213	 0.005149	 0.000025	 0.000000	 0.000016	0.424296	 0.413686	 0.004913	 0.000000	 0.002769
