Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.001224	 0.000674	 0.000297	 0.000000	 0.000205	0.001224	 0.000674	 0.000297	 0.000000	 0.000205
2	 0.005523	 0.005026	 0.000400	 0.000000	 0.000065	0.006747	 0.005700	 0.000697	 0.000000	 0.000270
3	 0.004578	 0.004405	 0.000068	 0.000000	 0.000062	0.011325	 0.010105	 0.000765	 0.000000	 0.000332
4	 0.005040	 0.004944	 0.000049	 0.000000	 0.000022	0.016365	 0.015049	 0.000814	 0.000000	 0.000354
5	 0.004791	 0.004431	 0.000187	 0.000000	 0.000129	0.021156	 0.019480	 0.001001	 0.000000	 0.000483
6	 0.005295	 0.005120	 0.000081	 0.000000	 0.000033	0.026451	 0.024600	 0.001082	 0.000000	 0.000516
7	 0.006739	 0.006535	 0.000106	 0.000000	 0.000042	0.033190	 0.031135	 0.001188	 0.000000	 0.000558
8	 0.006252	 0.006130	 0.000057	 0.000000	 0.000031	0.039442	 0.037265	 0.001245	 0.000000	 0.000589
9	 0.005861	 0.005676	 0.000113	 0.000000	 0.000036	0.045303	 0.042941	 0.001358	 0.000000	 0.000625
10	 0.006302	 0.006186	 0.000049	 0.000000	 0.000032	0.051605	 0.049127	 0.001407	 0.000000	 0.000657
11	 0.006066	 0.005913	 0.000074	 0.000000	 0.000044	0.057671	 0.055040	 0.001481	 0.000000	 0.000701
12	 0.005347	 0.005257	 0.000032	 0.000000	 0.000026	0.063018	 0.060297	 0.001513	 0.000000	 0.000727
13	 0.004814	 0.004703	 0.000050	 0.000000	 0.000036	0.067832	 0.065000	 0.001563	 0.000000	 0.000763
14	 0.005435	 0.005359	 0.000031	 0.000000	 0.000023	0.073267	 0.070359	 0.001594	 0.000000	 0.000786
15	 0.005872	 0.005745	 0.000060	 0.000000	 0.000036	0.079139	 0.076104	 0.001654	 0.000000	 0.000822
16	 0.005518	 0.005349	 0.000088	 0.000000	 0.000038	0.084657	 0.081453	 0.001742	 0.000000	 0.000860
17	 0.005961	 0.005839	 0.000051	 0.000000	 0.000036	0.090618	 0.087292	 0.001793	 0.000000	 0.000896
18	 0.006156	 0.006024	 0.000055	 0.000000	 0.000032	0.096774	 0.093316	 0.001848	 0.000000	 0.000928
19	 0.005332	 0.005116	 0.000126	 0.000000	 0.000028	0.102106	 0.098432	 0.001974	 0.000000	 0.000956
20	 0.005220	 0.005132	 0.000045	 0.000000	 0.000019	0.107326	 0.103564	 0.002019	 0.000000	 0.000975
21	 0.005626	 0.005508	 0.000061	 0.000000	 0.000029	0.112952	 0.109072	 0.002080	 0.000000	 0.001004
22	 0.005466	 0.005379	 0.000036	 0.000000	 0.000022	0.118418	 0.114451	 0.002116	 0.000000	 0.001026
23	 0.006193	 0.006056	 0.000059	 0.000000	 0.000030	0.124611	 0.120507	 0.002175	 0.000000	 0.001056
24	 0.006579	 0.006457	 0.000059	 0.000000	 0.000032	0.131190	 0.126964	 0.002234	 0.000000	 0.001088
25	 0.005466	 0.005278	 0.000102	 0.000000	 0.000044	0.136656	 0.132242	 0.002336	 0.000000	 0.001132
26	 0.005830	 0.005727	 0.000046	 0.000000	 0.000027	0.142486	 0.137969	 0.002382	 0.000000	 0.001159
27	 0.005485	 0.005348	 0.000060	 0.000000	 0.000045	0.147971	 0.143317	 0.002442	 0.000000	 0.001204
28	 0.005578	 0.005495	 0.000040	 0.000000	 0.000018	0.153549	 0.148812	 0.002482	 0.000000	 0.001222
29	 0.005973	 0.005853	 0.000055	 0.000000	 0.000035	0.159522	 0.154665	 0.002537	 0.000000	 0.001257
30	 0.005503	 0.005374	 0.000068	 0.000000	 0.000028	0.165025	 0.160039	 0.002605	 0.000000	 0.001285
31	 0.005403	 0.005249	 0.000071	 0.000000	 0.000031	0.170428	 0.165288	 0.002676	 0.000000	 0.001316
32	 0.005628	 0.005536	 0.000031	 0.000000	 0.000020	0.176056	 0.170824	 0.002707	 0.000000	 0.001336
33	 0.005101	 0.005001	 0.000041	 0.000000	 0.000020	0.181157	 0.175825	 0.002748	 0.000000	 0.001356
34	 0.005516	 0.005433	 0.000029	 0.000000	 0.000018	0.186673	 0.181258	 0.002777	 0.000000	 0.001374
35	 0.006512	 0.006398	 0.000043	 0.000000	 0.000027	0.193185	 0.187656	 0.002820	 0.000000	 0.001401
36	 0.005267	 0.005145	 0.000058	 0.000000	 0.000022	0.198452	 0.192801	 0.002878	 0.000000	 0.001423
