Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000896	 0.000606	 0.000163	 0.000000	 0.000088	0.000896	 0.000606	 0.000163	 0.000000	 0.000088
2	 0.005522	 0.005301	 0.000107	 0.000000	 0.000073	0.006418	 0.005907	 0.000270	 0.000000	 0.000161
3	 0.005368	 0.005170	 0.000070	 0.000000	 0.000081	0.011786	 0.011077	 0.000340	 0.000000	 0.000242
4	 0.004631	 0.004523	 0.000051	 0.000000	 0.000027	0.016417	 0.015600	 0.000391	 0.000000	 0.000269
5	 0.005367	 0.005127	 0.000151	 0.000000	 0.000053	0.021784	 0.020727	 0.000542	 0.000000	 0.000322
6	 0.005342	 0.005209	 0.000053	 0.000000	 0.000030	0.027126	 0.025936	 0.000595	 0.000000	 0.000352
7	 0.006420	 0.006266	 0.000072	 0.000000	 0.000035	0.033546	 0.032202	 0.000667	 0.000000	 0.000387
8	 0.005629	 0.005514	 0.000057	 0.000000	 0.000030	0.039175	 0.037716	 0.000724	 0.000000	 0.000417
9	 0.005405	 0.005237	 0.000096	 0.000000	 0.000042	0.044580	 0.042953	 0.000820	 0.000000	 0.000459
10	 0.005355	 0.005262	 0.000041	 0.000000	 0.000028	0.049935	 0.048215	 0.000861	 0.000000	 0.000487
11	 0.005435	 0.005301	 0.000059	 0.000000	 0.000043	0.055370	 0.053516	 0.000920	 0.000000	 0.000530
12	 0.006197	 0.006074	 0.000060	 0.000000	 0.000031	0.061567	 0.059590	 0.000980	 0.000000	 0.000561
13	 0.005835	 0.005682	 0.000069	 0.000000	 0.000043	0.067402	 0.065272	 0.001049	 0.000000	 0.000604
14	 0.006384	 0.006267	 0.000057	 0.000000	 0.000030	0.073786	 0.071539	 0.001106	 0.000000	 0.000634
15	 0.005551	 0.005413	 0.000061	 0.000000	 0.000042	0.079337	 0.076952	 0.001167	 0.000000	 0.000676
16	 0.005687	 0.005604	 0.000032	 0.000000	 0.000025	0.085024	 0.082556	 0.001199	 0.000000	 0.000701
17	 0.005529	 0.005384	 0.000069	 0.000000	 0.000042	0.090553	 0.087940	 0.001268	 0.000000	 0.000743
18	 0.005867	 0.005766	 0.000031	 0.000000	 0.000027	0.096420	 0.093706	 0.001299	 0.000000	 0.000770
19	 0.006481	 0.006348	 0.000061	 0.000000	 0.000021	0.102901	 0.100054	 0.001360	 0.000000	 0.000791
20	 0.007424	 0.007296	 0.000068	 0.000000	 0.000025	0.110325	 0.107350	 0.001428	 0.000000	 0.000816
21	 0.005937	 0.005792	 0.000071	 0.000000	 0.000037	0.116262	 0.113142	 0.001499	 0.000000	 0.000853
22	 0.005598	 0.005516	 0.000034	 0.000000	 0.000021	0.121860	 0.118658	 0.001533	 0.000000	 0.000874
23	 0.006160	 0.006022	 0.000057	 0.000000	 0.000036	0.128020	 0.124680	 0.001590	 0.000000	 0.000910
24	 0.006547	 0.006423	 0.000058	 0.000000	 0.000035	0.134567	 0.131103	 0.001648	 0.000000	 0.000945
25	 0.006519	 0.006322	 0.000092	 0.000000	 0.000051	0.141086	 0.137425	 0.001740	 0.000000	 0.000996
26	 0.005982	 0.005818	 0.000084	 0.000000	 0.000041	0.147068	 0.143243	 0.001824	 0.000000	 0.001037
27	 0.006018	 0.005857	 0.000082	 0.000000	 0.000046	0.153086	 0.149100	 0.001906	 0.000000	 0.001083
28	 0.006395	 0.006301	 0.000045	 0.000000	 0.000018	0.159481	 0.155401	 0.001951	 0.000000	 0.001101
29	 0.005826	 0.005681	 0.000066	 0.000000	 0.000041	0.165307	 0.161082	 0.002017	 0.000000	 0.001142
30	 0.006491	 0.006370	 0.000061	 0.000000	 0.000018	0.171798	 0.167452	 0.002078	 0.000000	 0.001160
31	 0.006433	 0.006221	 0.000104	 0.000000	 0.000050	0.178231	 0.173673	 0.002182	 0.000000	 0.001210
32	 0.006335	 0.006229	 0.000038	 0.000000	 0.000024	0.184566	 0.179902	 0.002220	 0.000000	 0.001234
33	 0.006050	 0.005958	 0.000035	 0.000000	 0.000018	0.190616	 0.185860	 0.002255	 0.000000	 0.001252
34	 0.005580	 0.005477	 0.000040	 0.000000	 0.000023	0.196196	 0.191337	 0.002295	 0.000000	 0.001275
35	 0.006295	 0.006198	 0.000036	 0.000000	 0.000023	0.202491	 0.197535	 0.002331	 0.000000	 0.001298
36	 0.006553	 0.006426	 0.000055	 0.000000	 0.000027	0.209044	 0.203961	 0.002386	 0.000000	 0.001325
37	 0.005951	 0.005846	 0.000040	 0.000000	 0.000021	0.214995	 0.209807	 0.002426	 0.000000	 0.001346
38	 0.006290	 0.006186	 0.000043	 0.000000	 0.000022	0.221285	 0.215993	 0.002469	 0.000000	 0.001368
39	 0.006001	 0.005904	 0.000035	 0.000000	 0.000022	0.227286	 0.221897	 0.002504	 0.000000	 0.001390
40	 0.005800	 0.005671	 0.000059	 0.000000	 0.000024	0.233086	 0.227568	 0.002563	 0.000000	 0.001414
41	 0.006791	 0.006678	 0.000045	 0.000000	 0.000025	0.239877	 0.234246	 0.002608	 0.000000	 0.001439
42	 0.005432	 0.005290	 0.000061	 0.000000	 0.000035	0.245309	 0.239536	 0.002669	 0.000000	 0.001474
43	 0.006356	 0.006246	 0.000039	 0.000000	 0.000030	0.251665	 0.245782	 0.002708	 0.000000	 0.001504
44	 0.006122	 0.006020	 0.000039	 0.000000	 0.000031	0.257787	 0.251802	 0.002747	 0.000000	 0.001535
45	 0.005537	 0.005385	 0.000066	 0.000000	 0.000053	0.263324	 0.257187	 0.002813	 0.000000	 0.001588
46	 0.007102	 0.007011	 0.000036	 0.000000	 0.000023	0.270426	 0.264198	 0.002849	 0.000000	 0.001611
47	 0.005727	 0.005571	 0.000071	 0.000000	 0.000046	0.276153	 0.269769	 0.002920	 0.000000	 0.001657
48	 0.005611	 0.005530	 0.000032	 0.000000	 0.000021	0.281764	 0.275299	 0.002952	 0.000000	 0.001678
49	 0.005267	 0.005111	 0.000085	 0.000000	 0.000038	0.287031	 0.280410	 0.003037	 0.000000	 0.001716
50	 0.005743	 0.005636	 0.000047	 0.000000	 0.000021	0.292774	 0.286046	 0.003084	 0.000000	 0.001737
51	 0.005487	 0.005390	 0.000041	 0.000000	 0.000024	0.298261	 0.291436	 0.003125	 0.000000	 0.001761
52	 0.006627	 0.006467	 0.000067	 0.000000	 0.000051	0.304888	 0.297903	 0.003192	 0.000000	 0.001812
53	 0.006001	 0.005910	 0.000040	 0.000000	 0.000024	0.310889	 0.303813	 0.003232	 0.000000	 0.001836
54	 0.006017	 0.005851	 0.000086	 0.000000	 0.000051	0.316906	 0.309664	 0.003318	 0.000000	 0.001887
55	 0.005474	 0.005381	 0.000045	 0.000000	 0.000021	0.322380	 0.315045	 0.003363	 0.000000	 0.001908
56	 0.005503	 0.005359	 0.000068	 0.000000	 0.000044	0.327883	 0.320404	 0.003431	 0.000000	 0.001952
57	 0.004876	 0.004800	 0.000030	 0.000000	 0.000019	0.332759	 0.325204	 0.003461	 0.000000	 0.001971
58	 0.004817	 0.004695	 0.000051	 0.000000	 0.000043	0.337576	 0.329899	 0.003512	 0.000000	 0.002014
59	 0.004066	 0.003999	 0.000029	 0.000000	 0.000018	0.341642	 0.333898	 0.003541	 0.000000	 0.002032
60	 0.004081	 0.003954	 0.000058	 0.000000	 0.000042	0.345723	 0.337852	 0.003599	 0.000000	 0.002074
61	 0.003858	 0.003794	 0.000026	 0.000000	 0.000017	0.349581	 0.341646	 0.003625	 0.000000	 0.002091
62	 0.005268	 0.005109	 0.000075	 0.000000	 0.000046	0.354849	 0.346755	 0.003700	 0.000000	 0.002137
63	 0.005189	 0.005099	 0.000044	 0.000000	 0.000020	0.360038	 0.351854	 0.003744	 0.000000	 0.002157
64	 0.003747	 0.003608	 0.000068	 0.000000	 0.000040	0.363785	 0.355462	 0.003812	 0.000000	 0.002197
65	 0.003781	 0.003695	 0.000044	 0.000000	 0.000020	0.367566	 0.359157	 0.003856	 0.000000	 0.002217
66	 0.004301	 0.004170	 0.000063	 0.000000	 0.000041	0.371867	 0.363327	 0.003919	 0.000000	 0.002258
67	 0.004113	 0.004047	 0.000027	 0.000000	 0.000018	0.375980	 0.367374	 0.003946	 0.000000	 0.002276
68	 0.003926	 0.003820	 0.000049	 0.000000	 0.000032	0.379906	 0.371194	 0.003995	 0.000000	 0.002308
69	 0.004239	 0.004173	 0.000027	 0.000000	 0.000019	0.384145	 0.375367	 0.004022	 0.000000	 0.002327
70	 0.004869	 0.004764	 0.000046	 0.000000	 0.000032	0.389014	 0.380131	 0.004068	 0.000000	 0.002359
71	 0.004203	 0.004133	 0.000029	 0.000000	 0.000020	0.393217	 0.384264	 0.004097	 0.000000	 0.002379
72	 0.004212	 0.004083	 0.000066	 0.000000	 0.000034	0.397429	 0.388347	 0.004163	 0.000000	 0.002413
73	 0.004141	 0.004064	 0.000037	 0.000000	 0.000017	0.401570	 0.392411	 0.004200	 0.000000	 0.002430
74	 0.004365	 0.004250	 0.000055	 0.000000	 0.000033	0.405935	 0.396661	 0.004255	 0.000000	 0.002463
75	 0.003836	 0.003771	 0.000027	 0.000000	 0.000018	0.409771	 0.400432	 0.004282	 0.000000	 0.002481
76	 0.003954	 0.003847	 0.000048	 0.000000	 0.000035	0.413725	 0.404279	 0.004330	 0.000000	 0.002516
77	 0.004372	 0.004309	 0.000025	 0.000000	 0.000016	0.418097	 0.408588	 0.004355	 0.000000	 0.002532
78	 0.003979	 0.003875	 0.000045	 0.000000	 0.000032	0.422076	 0.412463	 0.004400	 0.000000	 0.002564
79	 0.004133	 0.004068	 0.000027	 0.000000	 0.000017	0.426209	 0.416531	 0.004427	 0.000000	 0.002581
80	 0.004161	 0.004054	 0.000045	 0.000000	 0.000035	0.430370	 0.420585	 0.004472	 0.000000	 0.002616
81	 0.003906	 0.003841	 0.000027	 0.000000	 0.000018	0.434276	 0.424426	 0.004499	 0.000000	 0.002634
82	 0.004466	 0.004357	 0.000047	 0.000000	 0.000035	0.438742	 0.428783	 0.004546	 0.000000	 0.002669
83	 0.003874	 0.003795	 0.000038	 0.000000	 0.000020	0.442616	 0.432578	 0.004584	 0.000000	 0.002689
84	 0.004192	 0.004064	 0.000060	 0.000000	 0.000045	0.446808	 0.436642	 0.004644	 0.000000	 0.002734
85	 0.003763	 0.003696	 0.000025	 0.000000	 0.000019	0.450571	 0.440338	 0.004669	 0.000000	 0.002753
86	 0.004242	 0.004133	 0.000046	 0.000000	 0.000037	0.454813	 0.444471	 0.004715	 0.000000	 0.002790
87	 0.004034	 0.003963	 0.000025	 0.000000	 0.000024	0.458847	 0.448434	 0.004740	 0.000000	 0.002814
88	 0.004452	 0.004334	 0.000049	 0.000000	 0.000045	0.463299	 0.452768	 0.004789	 0.000000	 0.002859
89	 0.003787	 0.003712	 0.000026	 0.000000	 0.000028	0.467086	 0.456480	 0.004815	 0.000000	 0.002887
90	 0.004429	 0.004301	 0.000047	 0.000000	 0.000044	0.471515	 0.460781	 0.004862	 0.000000	 0.002931
91	 0.004216	 0.004128	 0.000039	 0.000000	 0.000025	0.475731	 0.464909	 0.004901	 0.000000	 0.002956
92	 0.004417	 0.004273	 0.000067	 0.000000	 0.000044	0.480148	 0.469182	 0.004968	 0.000000	 0.003000
93	 0.004110	 0.004042	 0.000028	 0.000000	 0.000019	0.484258	 0.473224	 0.004996	 0.000000	 0.003019
94	 0.004434	 0.004309	 0.000063	 0.000000	 0.000033	0.488692	 0.477533	 0.005059	 0.000000	 0.003052
95	 0.004591	 0.004500	 0.000039	 0.000000	 0.000018	0.493283	 0.482033	 0.005098	 0.000000	 0.003070
96	 0.005140	 0.005066	 0.000031	 0.000000	 0.000018	0.498423	 0.487099	 0.005129	 0.000000	 0.003088
97	 0.004365	 0.004175	 0.000101	 0.000000	 0.000038	0.502788	 0.491274	 0.005230	 0.000000	 0.003126
98	 0.003984	 0.003900	 0.000040	 0.000000	 0.000022	0.506772	 0.495174	 0.005270	 0.000000	 0.003148
99	 0.004409	 0.004284	 0.000052	 0.000000	 0.000038	0.511181	 0.499458	 0.005322	 0.000000	 0.003186
100	 0.004553	 0.004464	 0.000027	 0.000000	 0.000029	0.515734	 0.503922	 0.005349	 0.000000	 0.003215
101	 0.005356	 0.005268	 0.000035	 0.000000	 0.000026	0.521090	 0.509190	 0.005384	 0.000000	 0.003241
102	 0.005416	 0.005211	 0.000093	 0.000000	 0.000070	0.526506	 0.514401	 0.005477	 0.000000	 0.003311
