Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000635	 0.000414	 0.000129	 0.000000	 0.000063	0.000635	 0.000414	 0.000129	 0.000000	 0.000063
2	 0.004262	 0.004072	 0.000104	 0.000000	 0.000053	0.004897	 0.004486	 0.000233	 0.000000	 0.000116
3	 0.003648	 0.003507	 0.000062	 0.000000	 0.000050	0.008545	 0.007993	 0.000295	 0.000000	 0.000166
4	 0.003629	 0.003446	 0.000110	 0.000000	 0.000030	0.012174	 0.011439	 0.000405	 0.000000	 0.000196
5	 0.003731	 0.003608	 0.000050	 0.000000	 0.000052	0.015905	 0.015047	 0.000455	 0.000000	 0.000248
6	 0.004180	 0.004039	 0.000079	 0.000000	 0.000028	0.020085	 0.019086	 0.000534	 0.000000	 0.000276
7	 0.003844	 0.003728	 0.000069	 0.000000	 0.000019	0.023929	 0.022814	 0.000603	 0.000000	 0.000295
8	 0.003278	 0.003158	 0.000072	 0.000000	 0.000024	0.027207	 0.025972	 0.000675	 0.000000	 0.000319
9	 0.003427	 0.003329	 0.000063	 0.000000	 0.000012	0.030634	 0.029301	 0.000738	 0.000000	 0.000331
10	 0.003290	 0.003180	 0.000052	 0.000000	 0.000024	0.033924	 0.032481	 0.000790	 0.000000	 0.000355
11	 0.003036	 0.002945	 0.000050	 0.000000	 0.000023	0.036960	 0.035426	 0.000840	 0.000000	 0.000378
12	 0.003341	 0.003222	 0.000068	 0.000000	 0.000032	0.040301	 0.038648	 0.000908	 0.000000	 0.000410
13	 0.003096	 0.003031	 0.000037	 0.000000	 0.000012	0.043397	 0.041679	 0.000945	 0.000000	 0.000422
14	 0.003167	 0.003068	 0.000053	 0.000000	 0.000023	0.046564	 0.044747	 0.000998	 0.000000	 0.000445
15	 0.002895	 0.002834	 0.000023	 0.000000	 0.000014	0.049459	 0.047581	 0.001021	 0.000000	 0.000459
16	 0.003235	 0.003182	 0.000022	 0.000000	 0.000014	0.052694	 0.050763	 0.001043	 0.000000	 0.000473
17	 0.003264	 0.003156	 0.000061	 0.000000	 0.000025	0.055958	 0.053919	 0.001104	 0.000000	 0.000498
18	 0.004204	 0.004133	 0.000037	 0.000000	 0.000014	0.060162	 0.058052	 0.001141	 0.000000	 0.000512
19	 0.003275	 0.003151	 0.000068	 0.000000	 0.000029	0.063437	 0.061203	 0.001209	 0.000000	 0.000541
20	 0.003570	 0.003503	 0.000034	 0.000000	 0.000015	0.067007	 0.064706	 0.001243	 0.000000	 0.000556
21	 0.003268	 0.003158	 0.000061	 0.000000	 0.000027	0.070275	 0.067864	 0.001304	 0.000000	 0.000583
22	 0.003230	 0.003167	 0.000032	 0.000000	 0.000014	0.073505	 0.071031	 0.001336	 0.000000	 0.000597
23	 0.003037	 0.002939	 0.000042	 0.000000	 0.000025	0.076542	 0.073970	 0.001378	 0.000000	 0.000622
24	 0.003603	 0.003536	 0.000024	 0.000000	 0.000024	0.080145	 0.077506	 0.001402	 0.000000	 0.000646
25	 0.003594	 0.003458	 0.000060	 0.000000	 0.000040	0.083739	 0.080964	 0.001462	 0.000000	 0.000686
26	 0.003569	 0.003504	 0.000027	 0.000000	 0.000018	0.087308	 0.084468	 0.001489	 0.000000	 0.000704
27	 0.003453	 0.003353	 0.000041	 0.000000	 0.000026	0.090761	 0.087821	 0.001530	 0.000000	 0.000730
28	 0.003167	 0.003105	 0.000027	 0.000000	 0.000017	0.093928	 0.090926	 0.001557	 0.000000	 0.000747
29	 0.003028	 0.002941	 0.000041	 0.000000	 0.000027	0.096956	 0.093867	 0.001598	 0.000000	 0.000774
30	 0.003139	 0.003062	 0.000044	 0.000000	 0.000017	0.100095	 0.096929	 0.001642	 0.000000	 0.000791
31	 0.003427	 0.003325	 0.000055	 0.000000	 0.000027	0.103522	 0.100254	 0.001697	 0.000000	 0.000818
32	 0.003098	 0.003037	 0.000026	 0.000000	 0.000016	0.106620	 0.103291	 0.001723	 0.000000	 0.000834
33	 0.002991	 0.002888	 0.000055	 0.000000	 0.000029	0.109611	 0.106179	 0.001778	 0.000000	 0.000863
34	 0.003013	 0.002945	 0.000034	 0.000000	 0.000016	0.112624	 0.109124	 0.001812	 0.000000	 0.000879
35	 0.003584	 0.003485	 0.000051	 0.000000	 0.000028	0.116208	 0.112609	 0.001863	 0.000000	 0.000907
36	 0.003350	 0.003278	 0.000037	 0.000000	 0.000017	0.119558	 0.115887	 0.001900	 0.000000	 0.000924
37	 0.003377	 0.003274	 0.000055	 0.000000	 0.000028	0.122935	 0.119161	 0.001955	 0.000000	 0.000952
38	 0.003262	 0.003191	 0.000035	 0.000000	 0.000017	0.126197	 0.122352	 0.001990	 0.000000	 0.000969
39	 0.003479	 0.003378	 0.000045	 0.000000	 0.000028	0.129676	 0.125730	 0.002035	 0.000000	 0.000997
40	 0.003304	 0.003237	 0.000033	 0.000000	 0.000016	0.132980	 0.128967	 0.002068	 0.000000	 0.001013
41	 0.003549	 0.003439	 0.000053	 0.000000	 0.000027	0.136529	 0.132406	 0.002121	 0.000000	 0.001040
42	 0.003482	 0.003416	 0.000033	 0.000000	 0.000016	0.140011	 0.135822	 0.002154	 0.000000	 0.001056
43	 0.003257	 0.003145	 0.000057	 0.000000	 0.000032	0.143268	 0.138967	 0.002211	 0.000000	 0.001088
44	 0.003822	 0.003737	 0.000041	 0.000000	 0.000019	0.147090	 0.142704	 0.002252	 0.000000	 0.001107
45	 0.003416	 0.003299	 0.000062	 0.000000	 0.000032	0.150506	 0.146003	 0.002314	 0.000000	 0.001139
46	 0.003064	 0.002994	 0.000034	 0.000000	 0.000016	0.153570	 0.148997	 0.002348	 0.000000	 0.001155
47	 0.003624	 0.003518	 0.000053	 0.000000	 0.000032	0.157194	 0.152515	 0.002401	 0.000000	 0.001187
48	 0.003168	 0.003097	 0.000034	 0.000000	 0.000018	0.160362	 0.155612	 0.002435	 0.000000	 0.001205
49	 0.003698	 0.003591	 0.000052	 0.000000	 0.000033	0.164060	 0.159203	 0.002487	 0.000000	 0.001238
50	 0.003398	 0.003328	 0.000034	 0.000000	 0.000018	0.167458	 0.162531	 0.002521	 0.000000	 0.001256
51	 0.003231	 0.003126	 0.000052	 0.000000	 0.000032	0.170689	 0.165657	 0.002573	 0.000000	 0.001288
52	 0.003477	 0.003416	 0.000025	 0.000000	 0.000018	0.174166	 0.169073	 0.002598	 0.000000	 0.001306
53	 0.003397	 0.003287	 0.000056	 0.000000	 0.000033	0.177563	 0.172360	 0.002654	 0.000000	 0.001339
54	 0.003316	 0.003246	 0.000034	 0.000000	 0.000018	0.180879	 0.175606	 0.002688	 0.000000	 0.001357
55	 0.003396	 0.003290	 0.000054	 0.000000	 0.000033	0.184275	 0.178896	 0.002742	 0.000000	 0.001390
56	 0.003036	 0.002967	 0.000034	 0.000000	 0.000018	0.187311	 0.181863	 0.002776	 0.000000	 0.001408
57	 0.003559	 0.003455	 0.000051	 0.000000	 0.000033	0.190870	 0.185318	 0.002827	 0.000000	 0.001441
58	 0.003468	 0.003390	 0.000031	 0.000000	 0.000017	0.194338	 0.188708	 0.002858	 0.000000	 0.001458
59	 0.003122	 0.003059	 0.000029	 0.000000	 0.000016	0.197460	 0.191767	 0.002887	 0.000000	 0.001474
60	 0.003231	 0.003123	 0.000050	 0.000000	 0.000029	0.200691	 0.194890	 0.002937	 0.000000	 0.001503
61	 0.003293	 0.003212	 0.000036	 0.000000	 0.000028	0.203984	 0.198102	 0.002973	 0.000000	 0.001531
62	 0.003154	 0.003036	 0.000053	 0.000000	 0.000042	0.207138	 0.201138	 0.003026	 0.000000	 0.001573
63	 0.003414	 0.003342	 0.000035	 0.000000	 0.000018	0.210552	 0.204480	 0.003061	 0.000000	 0.001591
64	 0.003343	 0.003237	 0.000052	 0.000000	 0.000032	0.213895	 0.207717	 0.003113	 0.000000	 0.001623
65	 0.003217	 0.003155	 0.000025	 0.000000	 0.000019	0.217112	 0.210872	 0.003138	 0.000000	 0.001642
66	 0.003446	 0.003342	 0.000052	 0.000000	 0.000032	0.220558	 0.214214	 0.003190	 0.000000	 0.001674
67	 0.003604	 0.003528	 0.000033	 0.000000	 0.000018	0.224162	 0.217742	 0.003223	 0.000000	 0.001692
68	 0.003470	 0.003402	 0.000031	 0.000000	 0.000019	0.227632	 0.221144	 0.003254	 0.000000	 0.001711
69	 0.003551	 0.003437	 0.000053	 0.000000	 0.000033	0.231183	 0.224581	 0.003307	 0.000000	 0.001744
70	 0.003463	 0.003405	 0.000023	 0.000000	 0.000018	0.234646	 0.227986	 0.003330	 0.000000	 0.001762
71	 0.003952	 0.003839	 0.000054	 0.000000	 0.000037	0.238598	 0.231825	 0.003384	 0.000000	 0.001799
72	 0.003320	 0.003260	 0.000023	 0.000000	 0.000020	0.241918	 0.235085	 0.003407	 0.000000	 0.001819
73	 0.003365	 0.003255	 0.000054	 0.000000	 0.000036	0.245283	 0.238340	 0.003461	 0.000000	 0.001855
74	 0.002985	 0.002913	 0.000034	 0.000000	 0.000019	0.248268	 0.241253	 0.003495	 0.000000	 0.001874
75	 0.003414	 0.003317	 0.000044	 0.000000	 0.000035	0.251682	 0.244570	 0.003539	 0.000000	 0.001909
76	 0.003090	 0.003031	 0.000022	 0.000000	 0.000020	0.254772	 0.247601	 0.003561	 0.000000	 0.001929
77	 0.003287	 0.003191	 0.000040	 0.000000	 0.000035	0.258059	 0.250792	 0.003601	 0.000000	 0.001964
78	 0.003437	 0.003374	 0.000026	 0.000000	 0.000018	0.261496	 0.254166	 0.003627	 0.000000	 0.001982
79	 0.003197	 0.003094	 0.000046	 0.000000	 0.000034	0.264693	 0.257260	 0.003673	 0.000000	 0.002016
80	 0.003023	 0.002949	 0.000037	 0.000000	 0.000020	0.267716	 0.260209	 0.003710	 0.000000	 0.002036
81	 0.003653	 0.003541	 0.000052	 0.000000	 0.000038	0.271369	 0.263750	 0.003762	 0.000000	 0.002074
82	 0.003284	 0.003204	 0.000027	 0.000000	 0.000030	0.274653	 0.266954	 0.003789	 0.000000	 0.002104
83	 0.003636	 0.003537	 0.000040	 0.000000	 0.000038	0.278289	 0.270491	 0.003829	 0.000000	 0.002142
84	 0.003031	 0.002953	 0.000040	 0.000000	 0.000020	0.281320	 0.273444	 0.003869	 0.000000	 0.002162
85	 0.003264	 0.003147	 0.000045	 0.000000	 0.000038	0.284584	 0.276591	 0.003914	 0.000000	 0.002200
86	 0.003183	 0.003111	 0.000034	 0.000000	 0.000020	0.287767	 0.279702	 0.003948	 0.000000	 0.002220
87	 0.003651	 0.003537	 0.000054	 0.000000	 0.000039	0.291418	 0.283239	 0.004002	 0.000000	 0.002259
88	 0.003032	 0.002969	 0.000024	 0.000000	 0.000020	0.294450	 0.286208	 0.004026	 0.000000	 0.002279
89	 0.003876	 0.003765	 0.000043	 0.000000	 0.000037	0.298326	 0.289973	 0.004069	 0.000000	 0.002316
90	 0.002904	 0.002835	 0.000031	 0.000000	 0.000020	0.301230	 0.292808	 0.004100	 0.000000	 0.002336
91	 0.003310	 0.003210	 0.000041	 0.000000	 0.000036	0.304540	 0.296018	 0.004141	 0.000000	 0.002372
92	 0.003429	 0.003357	 0.000034	 0.000000	 0.000019	0.307969	 0.299375	 0.004175	 0.000000	 0.002391
93	 0.003260	 0.003147	 0.000053	 0.000000	 0.000037	0.311229	 0.302522	 0.004228	 0.000000	 0.002428
94	 0.002697	 0.002627	 0.000023	 0.000000	 0.000021	0.313926	 0.305149	 0.004251	 0.000000	 0.002449
95	 0.003134	 0.003072	 0.000023	 0.000000	 0.000020	0.317060	 0.308221	 0.004274	 0.000000	 0.002469
96	 0.003663	 0.003563	 0.000043	 0.000000	 0.000038	0.320723	 0.311784	 0.004317	 0.000000	 0.002507
97	 0.004401	 0.004325	 0.000036	 0.000000	 0.000021	0.325124	 0.316109	 0.004353	 0.000000	 0.002528
98	 0.003482	 0.003368	 0.000053	 0.000000	 0.000041	0.328606	 0.319477	 0.004406	 0.000000	 0.002569
99	 0.003930	 0.003853	 0.000035	 0.000000	 0.000021	0.332536	 0.323330	 0.004441	 0.000000	 0.002590
100	 0.003729	 0.003584	 0.000071	 0.000000	 0.000046	0.336265	 0.326914	 0.004512	 0.000000	 0.002636
