Iter 	incumb_est 	candid_est 	error
1 	-1302.000000 	-2592.598551 	-0.991243
2 	88.678675 	-592.591732 	7.682460
3 	-32.978127 	-389.474548 	-10.810087
4 	-200.552521 	-503.089383 	-1.508517
5 	-283.765637 	-400.159129 	-0.410175
6 	-238.376743 	-240.768410 	-0.010033
7 	-236.273261 	-277.601042 	-0.174915
8 	-239.494644 	-245.946751 	-0.026941
9 	-219.563094 	-288.017064 	-0.311774
10 	-173.580220 	-274.352897 	-0.580554
11 	-223.489329 	-292.312774 	-0.307950
12 	-172.215410 	-175.020965 	-0.016291
13 	-163.209667 	-172.700790 	-0.058153
14 	-178.571728 	-192.607808 	-0.078602
15 	-198.412119 	-226.251615 	-0.140311
16 	-203.870853 	-219.167016 	-0.075029
17 	-179.030675 	-222.316417 	-0.241778
18 	-213.930799 	-221.807997 	-0.036821
19 	-218.915139 	-225.017319 	-0.027875
20 	-207.305923 	-208.045923 	-0.003570
21 	-197.962993 	-229.745934 	-0.160550
22 	-225.657080 	-230.638969 	-0.022077
23 	-206.928577 	-227.878923 	-0.101244
24 	-214.617319 	-229.940663 	-0.071398
25 	-197.135857 	-206.905966 	-0.049560
26 	-220.238727 	-223.711779 	-0.015769
27 	-208.717549 	-213.676074 	-0.023757
28 	-222.502641 	-230.938734 	-0.037915
29 	-201.343514 	-228.815451 	-0.136443
30 	-219.863689 	-235.460324 	-0.070938
31 	-218.532050 	-226.055367 	-0.034427
32 	-209.544382 	-227.655544 	-0.086431
33 	-196.743806 	-232.024620 	-0.179324
34 	-209.435769 	-216.471217 	-0.033592
35 	-168.253833 	-189.840748 	-0.128300
36 	-184.606470 	-189.255338 	-0.025183
37 	-164.382760 	-179.035231 	-0.089136
38 	-179.976603 	-184.869843 	-0.027188
39 	-174.399164 	-189.487755 	-0.086518
40 	-189.684126 	-195.587918 	-0.031124
41 	-178.701790 	-214.155787 	-0.198398
42 	-193.386956 	-195.836904 	-0.012669
43 	-173.929073 	-175.397737 	-0.008444
44 	-165.417873 	-186.539487 	-0.127686
45 	-163.873313 	-184.832289 	-0.127897
46 	-156.895189 	-163.118324 	-0.039664
47 	-151.214473 	-166.489649 	-0.101017
48 	-159.560247 	-163.338025 	-0.023676
49 	-159.571592 	-171.423560 	-0.074274
50 	-166.389770 	-175.506187 	-0.054790
51 	-157.909378 	-183.210259 	-0.160224
52 	-169.244748 	-170.744902 	-0.008864
53 	-166.368666 	-174.933914 	-0.051484
54 	-173.468035 	-174.345195 	-0.005057
55 	-176.615883 	-184.780099 	-0.046226
56 	-172.950151 	-187.823442 	-0.085998
57 	-176.178357 	-188.003069 	-0.067118
58 	-176.452342 	-181.791224 	-0.030257
59 	-186.033455 	-187.653747 	-0.008710
60 	-178.493270 	-189.219933 	-0.060096
61 	-174.647869 	-187.346384 	-0.072709
62 	-174.149638 	-180.783043 	-0.038090
63 	-182.873060 	-183.732624 	-0.004700
64 	-177.815813 	-185.561355 	-0.043559
65 	-172.663303 	-176.258191 	-0.020820
66 	-159.765981 	-178.718787 	-0.118629
67 	-172.372713 	-175.551879 	-0.018444
68 	-179.718791 	-180.875696 	-0.006437
69 	-181.603243 	-182.160269 	-0.003067
70 	-181.491477 	-185.362389 	-0.021328
71 	-186.089278 	-188.255895 	-0.011643
72 	-180.357281 	-185.848269 	-0.030445
73 	-184.359379 	-185.988913 	-0.008839
74 	-184.348628 	-186.386665 	-0.011055
75 	-188.079166 	-189.451093 	-0.007294
76 	-179.987146 	-187.696461 	-0.042833
77 	-171.149368 	-172.990488 	-0.010757
78 	-169.719922 	-175.410902 	-0.033532
79 	-168.459488 	-168.708807 	-0.001480
80 	-170.691159 	-174.393170 	-0.021688
81 	-166.686308 	-167.402392 	-0.004296
82 	-167.854667 	-171.782487 	-0.023400
83 	-168.527933 	-170.329906 	-0.010692
84 	-174.676381 	-175.052949 	-0.002156
85 	-170.050678 	-175.576341 	-0.032494
86 	-176.142356 	-178.545504 	-0.013643
87 	-168.303009 	-169.080175 	-0.004618
88 	-174.276099 	-174.674125 	-0.002284
89 	-177.814496 	-179.289035 	-0.008293
90 	-181.145797 	-182.709597 	-0.008633
91 	-172.567184 	-176.974944 	-0.025542
92 	-178.381488 	-179.725222 	-0.007533
93 	-173.036060 	-173.564963 	-0.003057
94 	-168.050026 	-168.684703 	-0.003777
95 	-169.866405 	-173.779201 	-0.023035
96 	-164.748802 	-166.255338 	-0.009144
97 	-170.483949 	-171.204963 	-0.004229
98 	-169.665191 	-177.354666 	-0.045321
99 	-175.234816 	-177.530907 	-0.013103
100 	-177.381576 	-178.810066 	-0.008053
101 	-179.886810 	-181.449251 	-0.008686
102 	-176.136225 	-178.676682 	-0.014423
103 	-181.426728 	-182.951640 	-0.008405
104 	-178.933442 	-179.136104 	-0.001133
105 	-176.584424 	-181.300971 	-0.026710
106 	-175.803075 	-176.265873 	-0.002632
107 	-180.950722 	-181.351658 	-0.002216
108 	-180.504398 	-180.655976 	-0.000840
109 	-181.326894 	-183.000950 	-0.009232
110 	-185.103186 	-185.695772 	-0.003201
111 	-187.227755 	-187.809627 	-0.003108
112 	-185.178391 	-185.858237 	-0.003671
113 	-185.634097 	-186.877341 	-0.006697
114 	-187.909942 	-188.639904 	-0.003885
115 	-192.553349 	-192.826700 	-0.001420
116 	-182.655379 	-184.074214 	-0.007768
117 	-187.257993 	-187.793780 	-0.002861
118 	-189.494505 	-189.889623 	-0.002085
119 	-191.612971 	-193.883145 	-0.011848
120 	-190.962096 	-191.223485 	-0.001369
121 	-194.427797 	-194.549373 	-0.000625
122 	-190.512231 	-190.800595 	-0.001514
123 	-192.125531 	-194.519932 	-0.012463
124 	-194.960250 	-195.227207 	-0.001369
125 	-192.961806 	-198.311955 	-0.027726
126 	-194.783976 	-195.588453 	-0.004130
127 	-198.901840 	-199.201956 	-0.001509
128 	-202.248011 	-202.488825 	-0.001191
129 	-200.322030 	-205.195374 	-0.024328
130 	-196.639818 	-198.359506 	-0.008745
131 	-200.676118 	-201.375393 	-0.003485
132 	-200.738652 	-201.036920 	-0.001486
133 	-204.413141 	-204.561908 	-0.000728
134 	-198.908306 	-200.418654 	-0.007593
135 	-202.808208 	-203.523153 	-0.003525
136 	-202.676511 	-203.484501 	-0.003987
137 	-203.252306 	-204.472341 	-0.006003
138 	-202.665135 	-206.417521 	-0.018515
139 	-206.425782 	-207.644385 	-0.005903
140 	-201.402989 	-202.686929 	-0.006375
141 	-204.686231 	-205.413634 	-0.003554
142 	-205.393449 	-209.997076 	-0.022414
143 	-207.572532 	-210.277083 	-0.013029
144 	-200.746532 	-205.078884 	-0.021581
145 	-201.527822 	-202.810388 	-0.006364
146 	-198.277150 	-204.432176 	-0.031043
147 	-197.490755 	-202.111792 	-0.023399
148 	-197.443301 	-202.398046 	-0.025095
149 	-200.589527 	-201.198348 	-0.003035
150 	-196.503372 	-202.743261 	-0.031755
151 	-200.097111 	-201.077252 	-0.004898
152 	-198.531724 	-202.032521 	-0.017633
153 	-202.053887 	-203.778987 	-0.008538
154 	-199.414916 	-200.426312 	-0.005072
155 	-199.750683 	-203.137190 	-0.016954
156 	-198.864947 	-199.242358 	-0.001898
157 	-198.168875 	-202.186459 	-0.020274
158 	-200.805191 	-201.310860 	-0.002518
159 	-202.852564 	-203.294660 	-0.002179
160 	-203.435419 	-205.496418 	-0.010131
161 	-204.309547 	-205.770375 	-0.007150
162 	-203.145370 	-204.939096 	-0.008830
163 	-202.572298 	-207.002954 	-0.021872
164 	-201.481094 	-202.390102 	-0.004512
165 	-199.074183 	-204.003963 	-0.024764
166 	-196.901947 	-198.052868 	-0.005845
167 	-195.375811 	-199.382593 	-0.020508
168 	-196.218424 	-196.721659 	-0.002565
169 	-198.959446 	-199.361469 	-0.002021
170 	-198.844798 	-199.675540 	-0.004178
171 	-201.145752 	-201.805536 	-0.003280
172 	-199.492982 	-200.701753 	-0.006059
173 	-201.791048 	-202.400089 	-0.003018
174 	-203.719501 	-204.075754 	-0.001749
175 	-204.626201 	-206.105308 	-0.007228
176 	-203.849606 	-204.871335 	-0.005012
177 	-205.986935 	-206.677236 	-0.003351
178 	-204.762956 	-205.772277 	-0.004929
179 	-206.747260 	-207.577775 	-0.004017
180 	-208.395996 	-209.005368 	-0.002924
181 	-209.145915 	-210.668478 	-0.007280
182 	-208.859639 	-210.154935 	-0.006202
183 	-211.747961 	-211.970118 	-0.001049
184 	-210.712271 	-211.708487 	-0.004728
185 	-212.758729 	-213.483362 	-0.003406
186 	-210.288999 	-211.772799 	-0.007056
187 	-210.946043 	-212.671011 	-0.008177
188 	-211.116886 	-211.952642 	-0.003959
189 	-213.924563 	-214.361817 	-0.002044
190 	-215.893924 	-216.243728 	-0.001620
191 	-218.236369 	-218.638845 	-0.001844
192 	-216.512675 	-217.465924 	-0.004403
193 	-219.282164 	-219.314871 	-0.000149
194 	-220.551376 	-220.899567 	-0.001579
195 	-220.198301 	-222.484916 	-0.010384
196 	-218.171362 	-219.582793 	-0.006469
197 	-220.869366 	-220.887935 	-0.000084
