Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.000855	 0.000561	 0.000164	 0.000000	 0.000085	0.000855	 0.000561	 0.000164	 0.000000	 0.000085
2	 0.005897	 0.005625	 0.000152	 0.000000	 0.000074	0.006752	 0.006186	 0.000316	 0.000000	 0.000159
3	 0.004597	 0.004435	 0.000064	 0.000000	 0.000068	0.011349	 0.010621	 0.000380	 0.000000	 0.000227
4	 0.005146	 0.004897	 0.000156	 0.000000	 0.000041	0.016495	 0.015518	 0.000536	 0.000000	 0.000268
5	 0.005026	 0.004838	 0.000089	 0.000000	 0.000064	0.021521	 0.020356	 0.000625	 0.000000	 0.000332
6	 0.005191	 0.005030	 0.000082	 0.000000	 0.000036	0.026712	 0.025386	 0.000707	 0.000000	 0.000368
7	 0.005706	 0.005601	 0.000054	 0.000000	 0.000019	0.032418	 0.030987	 0.000761	 0.000000	 0.000387
8	 0.005505	 0.005256	 0.000120	 0.000000	 0.000085	0.037923	 0.036243	 0.000881	 0.000000	 0.000472
9	 0.005341	 0.005227	 0.000061	 0.000000	 0.000018	0.043264	 0.041470	 0.000942	 0.000000	 0.000490
10	 0.004896	 0.004630	 0.000141	 0.000000	 0.000065	0.048160	 0.046100	 0.001083	 0.000000	 0.000555
11	 0.004689	 0.004556	 0.000059	 0.000000	 0.000032	0.052849	 0.050656	 0.001142	 0.000000	 0.000587
12	 0.004774	 0.004635	 0.000062	 0.000000	 0.000041	0.057623	 0.055291	 0.001204	 0.000000	 0.000628
13	 0.004419	 0.004312	 0.000063	 0.000000	 0.000015	0.062042	 0.059603	 0.001267	 0.000000	 0.000643
14	 0.004237	 0.004115	 0.000058	 0.000000	 0.000033	0.066279	 0.063718	 0.001325	 0.000000	 0.000676
15	 0.004527	 0.004441	 0.000030	 0.000000	 0.000018	0.070806	 0.068159	 0.001355	 0.000000	 0.000694
16	 0.004275	 0.004181	 0.000049	 0.000000	 0.000021	0.075081	 0.072340	 0.001404	 0.000000	 0.000715
17	 0.004279	 0.004148	 0.000069	 0.000000	 0.000035	0.079360	 0.076488	 0.001473	 0.000000	 0.000750
18	 0.003957	 0.003862	 0.000049	 0.000000	 0.000019	0.083317	 0.080350	 0.001522	 0.000000	 0.000769
19	 0.003970	 0.003834	 0.000074	 0.000000	 0.000036	0.087287	 0.084184	 0.001596	 0.000000	 0.000805
20	 0.004129	 0.004045	 0.000042	 0.000000	 0.000018	0.091416	 0.088229	 0.001638	 0.000000	 0.000823
21	 0.004281	 0.004153	 0.000069	 0.000000	 0.000033	0.095697	 0.092382	 0.001707	 0.000000	 0.000856
22	 0.004376	 0.004300	 0.000036	 0.000000	 0.000017	0.100073	 0.096682	 0.001743	 0.000000	 0.000873
23	 0.003978	 0.003862	 0.000050	 0.000000	 0.000034	0.104051	 0.100544	 0.001793	 0.000000	 0.000907
24	 0.004303	 0.004227	 0.000027	 0.000000	 0.000027	0.108354	 0.104771	 0.001820	 0.000000	 0.000934
25	 0.004212	 0.004077	 0.000050	 0.000000	 0.000040	0.112566	 0.108848	 0.001870	 0.000000	 0.000974
26	 0.004307	 0.004239	 0.000028	 0.000000	 0.000019	0.116873	 0.113087	 0.001898	 0.000000	 0.000993
27	 0.003919	 0.003796	 0.000057	 0.000000	 0.000031	0.120792	 0.116883	 0.001955	 0.000000	 0.001024
28	 0.003988	 0.003924	 0.000025	 0.000000	 0.000018	0.124780	 0.120807	 0.001980	 0.000000	 0.001042
29	 0.003543	 0.003438	 0.000045	 0.000000	 0.000033	0.128323	 0.124245	 0.002025	 0.000000	 0.001075
30	 0.003797	 0.003711	 0.000047	 0.000000	 0.000019	0.132120	 0.127956	 0.002072	 0.000000	 0.001094
31	 0.004814	 0.004689	 0.000060	 0.000000	 0.000032	0.136934	 0.132645	 0.002132	 0.000000	 0.001126
32	 0.004825	 0.004678	 0.000086	 0.000000	 0.000026	0.141759	 0.137323	 0.002218	 0.000000	 0.001152
33	 0.004050	 0.003886	 0.000092	 0.000000	 0.000037	0.145809	 0.141209	 0.002310	 0.000000	 0.001189
34	 0.003411	 0.003323	 0.000045	 0.000000	 0.000021	0.149220	 0.144532	 0.002355	 0.000000	 0.001210
35	 0.004167	 0.004004	 0.000068	 0.000000	 0.000049	0.153387	 0.148536	 0.002423	 0.000000	 0.001259
